,titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,published_year,first_published,series,genres,awards,places,url
38,['Mockingjay'],['Suzanne Collins'],[108130],[2612648],[4.05],[398],[2010],[None],[1],"[['Young Adult', 'Science Fiction > Dystopia', 'Fiction']]","[['Locus Award Nominee for Best Young Adult Book (2011)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011)"", 'Andre Norton Award Nominee (2010)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2011)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)']]","[['District 13, Panem', 'District 12, Panem', 'Capitol, Panem', '']]",['https://www.goodreads.com/book/show/7260188-mockingjay']
39,['The Lovely Bones'],['Alice Sebold'],[42087],[2144745],[3.83],[372],[2006],[2002],[0],"[['Fiction', 'Mystery', 'Young Adult']]","[['Bram Stoker Award for Best First Novel (2002)', 'Orange Prize Nominee for Fiction Longlist (2003)', 'British Book Award for Best Read of the Year (2004)', 'Book Sense Book of the Year Award for Adult Fiction (2003)', 'California Book Award for First Fiction (Silver) (2002)', '', '', '', '', '', '', '']]","[['Philadelphia, Pennsylvania', 'Pennsylvania', 'United States of America']]",['https://www.goodreads.com/book/show/12232938-the-lovely-bones']
40,['Invisible Monsters'],['Chuck Palahniuk'],[6035],[139930],[3.97],[304],[2018],[1999],[0],"[['Fiction', 'Contemporary', 'Thriller']]",[None],[None],['https://www.goodreads.com/book/show/36236125-invisible-monsters']
41,['The Firm'],['Robin Waterfield'],[3624],[597962],[4.03],[76],[2000],[1991],[0],"[['Fiction', 'Thriller', 'Mystery']]",[None],"[['Memphis, Tennessee', 'Tennessee']]",['https://www.goodreads.com/book/show/5358.The_Firm']
42,['The Shadow of the Wind'],['Carlos Ruiz Zafón'],[40719],[531441],[4.27],[487],[2005],[2001],[1],"[['Fiction', 'Historical > Historical Fiction', 'Mystery']]","[['Barry Award for Best First Novel (2005)', 'Gumshoe Award Nominee for Best European Crime Novel (2005)', 'Borders Original Voices Award for Fiction (2004)', 'Dilys Award Nominee (2005)', ""Humo's Gouden Bladwijzer (2006)"", '', '', '', '']]","[['Spain', 'Barcelona, Catalonia']]",['https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind']
43,['The Zombie Room'],['R.D. Ronald'],[324],[96949],[4.2],[241],[2016],[2012],[0],"[['Thriller', 'Fiction', 'Mystery']]",[None],[None],['https://www.goodreads.com/book/show/29908754-the-zombie-room']
44,['Lord of the Flies'],['William Golding'],[42461],[2475937],[3.69],[182],[1999],[1954],[0],"[['Classics', 'Fiction', 'Young Adult']]",[None],[None],['https://www.goodreads.com/book/show/7624.Lord_of_the_Flies']
45,['Presumed Innocent'],['Scott Turow'],[1655],[115789],[4.1],[421],[1988],[1987],[1],"[['Mystery', 'Fiction', 'Thriller']]","[['CWA Silver Dagger for Fiction (1987)', 'Martin Beck Award (1988)']]",[None],['https://www.goodreads.com/book/show/425029.Presumed_Innocent']
46,['Harry Potter and the Chamber of Secrets'],['J.K. Rowling'],[60140],[3083022],[4.43],[341],[1999],[1998],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', '', '']]","[['Hogwarts School of Witchcraft and Wizardry', 'Hogwarts School of Witchcraft and Wizardry', 'Hogwarts School of Witchcraft and Wizardry', '']]",['https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets']
47,['American Psycho'],['Bret Easton Ellis'],[11574],[268553],[3.82],[399],[1991],[None],[0],"[['Fiction', 'Horror', 'Classics']]",[None],"[['New York City, New York', 'Wall Street, New York City, New York', 'Manhattan, New York City, New York']]",['https://www.goodreads.com/book/show/28676.American_Psycho']
48,['Tell No One'],['Harlan Coben'],[6107],[139968],[4.07],[370],[2009],[2001],[0],"[['Mystery', 'Thriller', 'Fiction']]","[['Barry Award Nominee for Best Novel (2002)', 'Macavity Award Nominee for Best Mystery Novel (2002)', 'Anthony Award Nominee for Best Novel (2002)', 'Audie Award for Mystery (2002)', 'Edgar Award Nominee for Best Novel (2002)', '', '']]",[['United States of America']],['https://www.goodreads.com/book/show/43933.Tell_No_One']
49,['Toe to Toe'],['Deborah Leblanc'],[70],[13464],[4.28],[304],[2018],[2015],[1],"[['Contemporary', 'Fiction', 'Novels']]",[None],[None],['https://www.goodreads.com/book/show/26157586-toe-to-toe']
50,['Una Historia de Ayer'],['Sergio Cobo'],[872],[23140],[4.45],[75],[2014],[None],[0],"[['Thriller', 'European Literature > Spanish Literature', 'Literature > European Literature']]",[None],[None],['https://www.goodreads.com/book/show/25036229-una-historia-de-ayer']
51,['The Lost Symbol'],['Dan Brown'],[28045],[565336],[3.73],[509],[2009],[None],[1],"[['Fiction', 'Mystery', 'Thriller']]","[['Goodreads Choice Award Nominee for Favorite Book, Fiction & Mystery/Thriller (2009)', 'LovelyBooks Leserpreis Nominee for Krimi (2009)']]","[['Washington, D.C.']]",['https://www.goodreads.com/book/show/6411961-the-lost-symbol']
52,['The Secret History'],['Donna Tartt'],[31161],[398250],[4.11],[559],[2004],[1992],[0],"[['Fiction', 'Mystery', 'Contemporary']]","[['Mekka-prijs (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1994)']]","[['Hampden College, Vermont', 'Vermont', 'United States of America', '']]",['https://www.goodreads.com/book/show/29044.The_Secret_History']
53,['A Clockwork Orange'],['Anthony Burgess'],[15580],[652494],[3.99],[213],[2019],[1962],[0],"[['Classics', 'Fiction', 'Science Fiction']]",[['Prometheus Hall of Fame Award (2008)']],[['England']],['https://www.goodreads.com/book/show/41817486-a-clockwork-orange']
54,['Fahrenheit 451'],['Ray Bradbury'],[54948],[1909738],[3.98],[194],[2011],[1953],[0],"[['Classics', 'Fiction', 'Science Fiction']]","[['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']]",[None],['https://www.goodreads.com/book/show/13079982-fahrenheit-451']
55,['Trainspotting'],['Irvine Welsh'],[3017],[167794],[4.05],[431],[1994],[1993],[1],"[['Fiction', 'Contemporary', 'Classics']]",[None],"[['London, England', 'Edinburgh, Scotland', 'Scotland']]",['https://www.goodreads.com/book/show/135836.Trainspotting']
56,['1984'],['George Orwell'],[82140],[3590214],[4.19],[298],[2013],[1949],[0],"[['Classics', 'Fiction', 'Science Fiction']]","[['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']]",[None],['https://www.goodreads.com/book/show/40961427-1984']
57,['Great Expectations'],['Charles Dickens'],[17812],[704238],[3.78],[544],[1998],[1860],[0],"[['Classics', 'Fiction', 'Literature']]","[['Audie Award for Classic (2010)', 'Премія імені Максима Рильського (1993)']]",[None],['https://www.goodreads.com/book/show/2623.Great_Expectations']
58,['The Girl on the Train'],['Paula Hawkins'],[114737],[2386296],[3.94],[325],[2015],[2015],[0],"[['Fiction', 'Mystery', 'Thriller']]","[['ITW Thriller Award Nominee for Best Hardcover Novel (2016)', 'Audie Award for Audiobook of the Year (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2016)', 'Goodreads Choice Award for Mystery & Thriller (2015)', 'Waterstones Book of the Year Nominee (2015)', '']]","[['London, England', 'England']]",['https://www.goodreads.com/book/show/22557272-the-girl-on-the-train']
59,['The Boy in the Striped Pajamas'],['John Boyne'],[29673],[618056],[4.15],[240],[2006],[2006],[0],"[['Historical > Historical Fiction', 'Fiction', 'Young Adult']]","[[""Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2009)"", 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2008)', ""Bord Gáis Energy Irish Book Award for John Murray Show Listeners' Choice Award (2007)"", 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)', 'Premi Protagonista Jove for Categoria 15-16 anys (2008)']]","[['Germany', 'Poland', 'Auschwitz']]",['https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas']
60,['Odd Thomas'],['Dean Koontz'],[7730],[267793],[3.96],[446],[2006],[2003],[1],"[['Horror', 'Fiction', 'Mystery']]",[['Lincoln Award Nominee (2006)']],"[['Pico Mundo, California']]",['https://www.goodreads.com/book/show/14995.Odd_Thomas']
61,['The Name of the Rose'],['Umberto Eco'],[10131],[329168],[4.13],[536],[1994],[1980],[0],"[['Fiction', 'Historical > Historical Fiction', 'Mystery']]","[['إمبيرتو', 'Premio Strega (1981)', 'Los Angeles Times Book Prize Nominee for Fiction (1983)', 'Edgar Award Nominee for Best Novel (1984)', 'PEN Translation Prize for William Weaver (1984)', '', '', '', '']]","[['Italian Benedictine monastery', 'Italy']]",['https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose']
62,['Requiem for a Dream'],['Hubert Selby Jr.'],[1354],[64886],[4.06],[279],[1999],[1978],[0],"[['Fiction', 'Thriller', 'Classics']]",[None],"[['Coney Island, New York']]",['https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream']
63,['Dark Places'],['Gillian Flynn'],[37775],[648969],[3.93],[349],[2009],[None],[0],"[['Mystery', 'Fiction', 'Thriller']]","[['Black Quill Award for Dark Genre Novel of the Year (2010)', 'CWA Ian Fleming Steel Dagger Nominee (2010)']]","[['Kinnakee, Kansas', 'Kansas City, Missouri']]",['https://www.goodreads.com/book/show/5886881-dark-places']
64,['Wuthering Heights'],['Emily Brontë'],[43524],[1484722],[3.87],[464],[2002],[1847],[0],"[['Classics', 'Fiction', 'Romance']]",[None],[None],['https://www.goodreads.com/book/show/6185.Wuthering_Heights']
65,['Fingersmith'],['Sarah Waters'],[6395],[98960],[3.98],[592],[2002],[None],[0],"[['Historical > Historical Fiction', 'Fiction', 'LGBT']]","[['Booker Prize Nominee (2002)', 'Stonewall Book Award Nominee for Literature (2003)', 'Orange Prize Nominee for Fiction Shortlist (2002)', 'CWA Ellis Peters Historical Award (2002)', 'Lambda Literary Award for Lesbian Fiction (2003)', '']]","[['London, England']]",['https://www.goodreads.com/book/show/8913370-fingersmith']
66,['I Am Legend and Other Stories'],['Richard Matheson'],[5192],[125558],[4.01],[317],[1997],[1954],[0],"[['Horror', 'Fiction', 'Science Fiction']]",[None],"[['Los Angeles, California']]",['https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories']
67,['Factotum'],['Charles Bukowski'],[2063],[69291],[3.94],[208],[2002],[1975],[0],"[['Fiction', 'Classics', 'Thriller']]",[None],"[['New Orleans, Louisiana', 'Los Angeles, California', 'New York City, New York', '', '', '', '']]",['https://www.goodreads.com/book/show/497199.Factotum']
68,['Lunar Park'],['Bret Easton Ellis'],[1063],[35985],[3.67],[404],[2006],[2005],[0],"[['Fiction', 'Thriller', 'Horror']]",[['World Fantasy Award Nominee for Best Novel (2006)']],[None],['https://www.goodreads.com/book/show/4031.Lunar_Park']
69,['Plain Truth'],['Jodi Picoult'],[7416],[172947],[3.97],[405],[2004],[2000],[0],"[['Fiction', 'Mystery', 'Contemporary']]",[['Mary Higgins Clark Award Nominee (2001)']],"[['Paradise, Pennsylvania']]",['https://www.goodreads.com/book/show/14864.Plain_Truth']
70,['Skagboys'],['Irvine Welsh'],[629],[28089],[3.96],[548],[2012],[None],[1],"[['Fiction', 'Thriller', 'Mystery']]",[None],"[['Edinburgh, Scotland']]",['https://www.goodreads.com/book/show/12926063-skagboys']
71,['The Gift of the Magi'],['O. Henry'],[2068],[86636],[4.1],[26],[2006],[1905],[0],"[['Classics', 'Short Stories', 'Fiction']]",[None],[['United States of America']],['https://www.goodreads.com/book/show/143534.The_Gift_of_the_Magi']
