,titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,published_year,first_published,series,genres,awards,places,url
89,['The Golden Compass'],['Philip Pullman'],[24390],[1381323],[4.0],[399],[1996],[1995],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[[""Guardian Children's Fiction Prize (1996)"", ""Audie Award for Children's Titles (2000)"", 'Lincoln Award Nominee (2005)', 'Carnegie Medal (1995)']]","[['Oxford, England', 'Svalbard, Spitsbergen']]",['https://www.goodreads.com/book/show/119322.The_Golden_Compass']
90,['The House at Riverton'],['Kate Morton'],[8483],[113438],[3.93],[599],[2007],[2006],[0],"[['Historical > Historical Fiction', 'Fiction', 'Mystery']]",[['Australian Book Industry Award (ABIA) for General Fiction and Nominee for Newcomer (2007)']],[['Riverton Manor']],['https://www.goodreads.com/book/show/1278752.The_House_at_Riverton']
91,['The Last Lumenian'],['S.G. Blaise'],[345],[8626],[4.31],[328],[2020],[None],[0],"[['Novels', 'Contemporary', 'Drama']]",[None],[None],['https://www.goodreads.com/book/show/54329757-the-last-lumenian']
92,['The Moonstone'],['Wilkie Collins'],[4965],[90775],[3.9],[528],[2001],[1868],[0],"[['Classics', 'Mystery', 'Fiction']]",[['CWA Best Ever Nominee for Crime Novel (2013)']],"[['United Kingdom', 'England', 'Kathiawar']]",['https://www.goodreads.com/book/show/6138.The_Moonstone']
93,['Appellate Judge'],['Behcet Kaya'],[21],[7006],[4.3],[None],[2020],[None],[1],"[['Novels', 'Contemporary', 'Drama']]",[None],[None],['https://www.goodreads.com/book/show/56121234-appellate-judge']
94,['Oedipus Rex'],['Sophocles'],[3903],[185496],[3.71],[75],[2006],[None],[1],"[['Classics', 'Plays', 'Fiction']]",[None],"[['Greece', 'Thebes']]",['https://www.goodreads.com/book/show/1554.Oedipus_Rex']
95,['Body In The Woods'],['Behcet Kaya'],[48],[6800],[4.29],[389],[2019],[None],[1],"[['Contemporary', 'Novels', 'Drama']]",[None],[None],['https://www.goodreads.com/book/show/48502633-body-in-the-woods']
96,['I Am the Messenger'],['Markus Zusak'],[14686],[154383],[4.01],[357],[2006],[2002],[0],"[['Young Adult', 'Fiction', 'Mystery']]","[[""New South Wales Premier's Literary Award for Ethel Turner Prize for Young People's Literature (2003)"", ""Children's Book Council of Australia Award for Book of the Year: Older Readers (2003)"", 'Michael L. Printz Award Nominee (2006)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2007)', 'Lincoln Award Nominee (2009)', '', '', '']]",[['Australia']],['https://www.goodreads.com/book/show/19057.I_Am_the_Messenger']
97,['Making Hearts'],['Jack Getze'],[54],[7804],[4.3],[148],[2020],[2020],[0],"[['Contemporary', 'Novels', 'Drama']]",[None],[None],['https://www.goodreads.com/book/show/56313556-making-hearts']
98,['Broken Promises (Past Imperfect Mystery Book 1)'],['Anne Willow'],[33],[6629],[4.29],[229],[2018],[None],[0],"[['Fiction', 'Contemporary', 'Young Adult']]",[None],[None],['https://www.goodreads.com/book/show/40121205-broken-promises']
99,['Under the Bus'],['Kyle Keyes'],[13],[7296],[4.31],[222],[2021],[None],[0],"[['Novels', 'Drama', 'Contemporary']]",[None],[None],['https://www.goodreads.com/book/show/57243935-under-the-bus']
