,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
156,The Devil in the White City,Erik Larson,34887,586252,3.98,,2003,2003,0,"['Nonfiction', 'History', 'Crime > True Crime']","['International Horror Guild Award for Nonfiction (2003)', 'Book Sense Book of the Year Award Nominee (2004)', 'Great Lakes Book Award Nominee for Nonfiction Shortlist (2003)', 'Edgar Award for Best Fact Crime (2004)', 'Washington State Book Award (2004)', '', '', '']","['Chicago, Illinois', 'Illinois']",https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City
157,Along Came a Spider,James Patterson,5610,423947,4.11,449,2003,1993,1,"['Mystery', 'Fiction', 'Thriller']",,"['Washington, D.C.']",https://www.goodreads.com/book/show/13145.Along_Came_a_Spider
158,An Unsuitable Job for a Woman,P.D. James,986,19082,3.84,256,2001,1972,1,"['Mystery', 'Fiction', 'Mystery > Crime']",['Edgar Award Nominee for Best Novel (1974)'],"['Cambridge, Cambridgeshire, England']",https://www.goodreads.com/book/show/365307.An_Unsuitable_Job_for_a_Woman
159,The Black Echo,Michael Connelly,4914,173152,4.09,482,2002,1992,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Anthony Award Nominee for Best First Novel (1993)', 'Dilys Award Nominee (1993)', 'Edgar Award for Best First Novel (1993)']","['Los Angeles, California', 'California', 'Hollywood, California']",https://www.goodreads.com/book/show/32508.The_Black_Echo
160,The Hound of the Baskervilles,Arthur Conan Doyle,9250,287594,4.12,256,2001,1901,1,"['Classics', 'Mystery', 'Fiction']","['Audie Award for Best Audio Drama (2015)', 'CWA Best Ever Nominee for Crime Novel (2013)']","['United Kingdom', 'Devon, England', 'London, England', '']",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
161,The Black Dahlia,James Ellroy,2734,89423,3.78,348,2006,1987,1,"['Mystery', 'Fiction', 'Mystery > Crime']",['Deutscher Krimi Preis for 1. Platz International (1989)'],"['Los Angeles, California']",https://www.goodreads.com/book/show/21704.The_Black_Dahlia
162,The Surgeon,Tess Gerritsen,4644,152805,4.06,416,2005,2001,1,"['Mystery', 'Thriller', 'Mystery > Crime']",['RITA Award by Romance Writers of America for Best Romantic Suspense (2002)'],"['Boston, Massachusetts']",https://www.goodreads.com/book/show/32263.The_Surgeon
163,Different Seasons,Stephen King,5032,190013,4.32,560,1995,1982,0,"['Horror', 'Fiction', 'Short Stories']",['World Fantasy Award Nominee for Best Anthology/Collection (1982)'],"['Shawshank State Penitentiary', 'Los Angeles, California', 'Castle Rock, Maine']",https://www.goodreads.com/book/show/39662.Different_Seasons
164,The Thin Man,Dashiell Hammett,2249,34675,3.94,201,1989,1934,0,"['Mystery', 'Fiction', 'Classics']",,"['New York City, New York']",https://www.goodreads.com/book/show/80616.The_Thin_Man
165,Case Histories,Kate Atkinson,7100,104797,3.8,389,2005,2004,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Orange Prize Nominee for Fiction Longlist (2005)', 'Saltire Society Literary Award for Scottish Book of the Year (2005)']","['Cambridge, England']",https://www.goodreads.com/book/show/16243.Case_Histories
166,Crocodile on the Sandbank,Elizabeth Peters,4756,69476,4,262,1988,1975,1,"['Mystery', 'Historical > Historical Fiction', 'Fiction']",,['Egypt'],https://www.goodreads.com/book/show/188230.Crocodile_on_the_Sandbank
167,Dark Places,Gillian Flynn,37682,646019,3.93,349,2009,,0,"['Mystery', 'Fiction', 'Thriller']","['Black Quill Award for Dark Genre Novel of the Year (2010)', 'CWA Ian Fleming Steel Dagger Nominee (2010)']","['Kinnakee, Kansas', 'Kansas City, Missouri']",https://www.goodreads.com/book/show/5886881-dark-places
168,Deception Point,Dan Brown,9954,630329,3.73,556,2002,2001,0,"['Fiction', 'Thriller', 'Mystery']",,"['Arctic Circle', 'Washington, D.C.', 'Milne Ice Shelf']",https://www.goodreads.com/book/show/976.Deception_Point
169,Snow Falling on Cedars,David Guterson,5095,177238,3.85,460,1995,1994,0,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['Anthony Award Nominee for Best First Novel (1995)', 'PEN/Faulkner Award for Fiction (1995)', 'American Booksellers Book Of The Year Award for Adult Trade (1996)', 'Martin Beck Award (1996)', 'Barnes and Noble Discover Great New Writers Award (1994)']","['San Piedro Island, Washington']",https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
170,The Sweetness at the Bottom of the Pie,Alan Bradley,16890,160898,3.82,374,2009,,1,"['Mystery', 'Fiction', 'Historical > Historical Fiction']","['Barry Award for Best First Novel (2010)', 'Macavity Award for Best First Mystery Novel (2010)', 'Anthony Award Nominee for Best First Novel (2010)', 'Dilys Award (2010)', 'Arthur Ellis Award for Best First Novel (2010)', '', '', '']","[""Bishop's Lacey, England"", 'England']",https://www.goodreads.com/book/show/6218281-the-sweetness-at-the-bottom-of-the-pie
171,The Secret History,Donna Tartt,30627,393884,4.11,559,2004,1992,0,"['Fiction', 'Mystery', 'Contemporary']","['Mekka-prijs (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1994)']","['Hampden College, Vermont', 'Vermont', 'The United States of America', '']",https://www.goodreads.com/book/show/29044.The_Secret_History
172,Tell No One,Harlan Coben,6076,139544,4.07,370,2009,2001,0,"['Mystery', 'Thriller', 'Fiction']","['Barry Award Nominee for Best Novel (2002)', 'Macavity Award Nominee for Best Mystery Novel (2002)', 'Anthony Award Nominee for Best Novel (2002)', 'Audie Award for Mystery (2002)', 'Edgar Award Nominee for Best Novel (2002)', '', '']",['The United States of America'],https://www.goodreads.com/book/show/43933.Tell_No_One
173,Rules of Prey,John Sandford,2398,82110,4.11,479,2005,1989,1,"['Mystery', 'Fiction', 'Thriller']",,"['Minneapolis, Minnesota']",https://www.goodreads.com/book/show/37301.Rules_of_Prey
174,The Secret of the Old Clock,Carolyn Keene,3989,71208,3.98,210,1991,1930,1,"['Mystery', 'Young Adult', 'Fiction']",,['The United States of America'],https://www.goodreads.com/book/show/32979.The_Secret_of_the_Old_Clock
175,A Study in Scarlet and The Sign of Four,Arthur Conan Doyle,485,6925,4.18,192,2003,1890,1,"['Mystery', 'Classics', 'Fiction']",,,https://www.goodreads.com/book/show/76120.A_Study_in_Scarlet_and_The_Sign_of_Four
176,Child 44,Tom Rob Smith,6526,86009,4.08,509,2009,2008,1,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['Booker Prize Nominee for Longlist (2008)', 'Barry Award for Best First Novel (2009)', 'Anthony Award Nominee for Best First Novel (2009)', 'Dilys Award Nominee (2009)', 'Galaxy British Book Awards for New Writer of the Year (2009)', '', '', '', '', '', '', '', '']","['Rostov-on-Don', 'Moscow']",https://www.goodreads.com/book/show/2161733.Child_44
177,Dead Until Dark,Charlaine Harris,18727,522317,3.96,292,2001,,1,"['Fantasy', 'Paranormal > Vampires', 'Fantasy > Paranormal']","['Locus Award Nominee for Best Fantasy Novel (2002)', 'Anthony Award for Best Paperback Original (2002)', 'Dilys Award Nominee (2002)', 'Agatha Award Nominee for Best Novel (2001)', 'Compton Crook Award Nominee (2002)']","['Bon Temps, Louisiana', 'Louisiana']",https://www.goodreads.com/book/show/301082.Dead_Until_Dark
178,The Postman Always Rings Twice,James M. Cain,2594,36851,3.8,116,2010,1934,0,"['Fiction', 'Classics', 'Mystery']",,['California'],https://www.goodreads.com/book/show/25807.The_Postman_Always_Rings_Twice
179,Double Indemnity,James M. Cain,1394,26784,4.06,115,1989,1936,0,"['Fiction', 'Mystery', 'Mystery > Noir']",,,https://www.goodreads.com/book/show/56616.Double_Indemnity
180,The Elephant Tree,R.D. Ronald,360,96881,4.19,252,2010,,0,"['Thriller', 'Fiction', 'Mystery']",,,https://www.goodreads.com/book/show/9293020-the-elephant-tree
181,Una Historia de Ayer,Sergio Cobo,806,22661,4.45,75,2014,,0,"['Thriller', 'European Literature > Spanish Literature', 'Literature > European Literature']",,,https://www.goodreads.com/book/show/25036229-una-historia-de-ayer
182,American Psycho,Bret Easton Ellis,11489,267933,3.82,399,1991,,0,"['Fiction', 'Horror', 'Classics']",,"['New York City, New York', 'Wall Street, New York City, New York', 'Manhattan, New York City, New York']",https://www.goodreads.com/book/show/28676.American_Psycho
183,The Zombie Room,R.D. Ronald,319,95881,4.19,241,2016,2012,0,"['Thriller', 'Fiction', 'Mystery']",,,https://www.goodreads.com/book/show/29908754-the-zombie-room
184,Gone for Good,Harlan Coben,2697,55166,4.1,432,2003,2002,0,"['Mystery', 'Thriller', 'Fiction']",,"['The United States of America', 'Livingston, New Jersey', 'New York City, New York', '', '']",https://www.goodreads.com/book/show/43930.Gone_for_Good
185,The Woods,Harlan Coben,4775,91682,4.02,404,2007,2007,0,"['Mystery', 'Thriller', 'Fiction']",,"['Newark, New Jersey', 'New Jersey']",https://www.goodreads.com/book/show/43931.The_Woods
186,Whose Body?,Dorothy L. Sayers,3022,49941,3.87,212,1995,1923,1,"['Mystery', 'Fiction', 'Mystery > Crime']",,"['London, England', 'Salisbury, England']",https://www.goodreads.com/book/show/192893.Whose_Body_
187,Storm Front,Jim Butcher,17664,322526,3.98,355,2000,,1,"['Fantasy', 'Fantasy > Urban Fantasy', 'Mystery']",[''],[''],https://www.goodreads.com/book/show/47212.Storm_Front
188,Faceless Killers,Henning Mankell,3536,69755,3.78,280,2003,1991,1,"['Mystery', 'Mystery > Crime', 'Fiction']","['Glass Key Award (1992)', 'Svenska Deckarakademins pris för bästa svenska kriminalroman (1991)']","['Ystad, Skåne', 'Sweden']",https://www.goodreads.com/book/show/935308.Faceless_Killers
189,The Ritual Bath,Faye Kellerman,830,15812,3.94,352,2004,1986,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Macavity Award for Best First Mystery Novel (1987)', 'Anthony Award Nominee for Best First Novel (1987)']",,https://www.goodreads.com/book/show/104106.The_Ritual_Bath
190,Witness for the Prosecution and Selected Plays,Agatha Christie,75,4165,4.06,352,1995,1995,0,"['Mystery', 'Mystery > Crime', 'Fiction']",,,https://www.goodreads.com/book/show/16320.Witness_for_the_Prosecution_and_Selected_Plays
191,Heartsick,Chelsea Cain,3012,44508,3.92,326,2007,,1,"['Mystery', 'Thriller', 'Fiction']",,"['Portland, Oregon', 'Oregon']",https://www.goodreads.com/book/show/657034.Heartsick
192,Where Are the Children?,Mary Higgins Clark,1352,48247,4.02,304,2005,1975,0,"['Mystery', 'Fiction', 'Suspense']",,"['Cape Cod, Massachusetts']",https://www.goodreads.com/book/show/43339.Where_Are_the_Children_
193,The Killer Inside Me,Jim Thompson,1491,28270,3.88,244,1991,1952,0,"['Fiction', 'Mystery > Crime', 'Mystery']",,['Central City'],https://www.goodreads.com/book/show/298663.The_Killer_Inside_Me
194,Shadow Roll,Ki Longfellow,92,1243,4.06,240,2013,2013,1,"['Mystery > Historical Mystery', 'Mystery', 'Fiction']",,"['Stapleton, Staten Island, New York']",https://www.goodreads.com/book/show/15039105-shadow-roll
195,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4386,135649,4.04,689,2001,1974,0,"['Crime > True Crime', 'Nonfiction', 'Mystery > Crime']",['Edgar Award for Best Fact Crime (1975)'],['The United States of America'],https://www.goodreads.com/book/show/105992.Helter_Skelter
196,Foucault's Pendulum,Umberto Eco,3515,65770,3.9,623,2007,1988,0,"['Fiction', 'Mystery', 'Historical > Historical Fiction']","['PEN Translation Prize for William Weaver (1990)', 'Premio Bancarella (1989)', 'Ars Translationis (1998)']","['Italy', 'Milan']",https://www.goodreads.com/book/show/17841.Foucault_s_Pendulum
197,One Flew Over the Cuckoo's Nest,Ken Kesey,12378,672439,4.19,325,1963,1962,0,"['Classics', 'Fiction', 'Psychology']",,"['Salem, Oregon']",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
198,A Place of Execution,Val McDermid,992,16524,4.1,480,2001,1999,0,"['Mystery', 'Mystery > Crime', 'Fiction']","['Barry Award for Best British Crime Novel (2000)', 'Macavity Award for Best Mystery Novel (2001)', 'Anthony Award for Best Novel (2001)', 'Dilys Award (2001)', 'Los Angeles Times Book Prize for Mystery/Thriller (2000)', '']",['Great Britain'],https://www.goodreads.com/book/show/91487.A_Place_of_Execution
199,Get Shorty,Elmore Leonard,758,23488,3.96,384,2002,1990,1,"['Fiction', 'Mystery > Crime', 'Mystery']",,,https://www.goodreads.com/book/show/702539.Get_Shorty
200,The Girl with the Dragon Tattoo,Stieg Larsson,71094,2821518,4.15,465,2008,2005,1,"['Fiction', 'Mystery', 'Thriller']","['Barry Award for Mystery/Crime Novel Of The Decade (2010)', 'Macavity Award for Best First Mystery Novel (2009)', 'Anthony Award for Best First Novel (2009)', 'Glass Key Award (2006)', 'CWA International Dagger Nominee (2008)', '', '', '']","['Stockholm', 'Hedeby Island', 'Hedestad, Stockholm', '']",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
201,And Then There Were None,Agatha Christie,41209,977816,4.26,264,2004,1939,0,"['Mystery', 'Classics', 'Fiction']",,"['United Kingdom', 'Devon Coast, England', 'Devon, England', '']",https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
202,Angels & Demons,Dan Brown,30609,2868928,3.92,736,2006,2000,1,"['Fiction', 'Mystery', 'Thriller']","[""Humo's Gouden Bladwijzer (2005)""]","['Rome', 'Vatican City', 'Italy']",https://www.goodreads.com/book/show/960.Angels_Demons
203,Rebecca,Daphne du Maurier,29156,520233,4.23,449,2013,1938,0,"['Classics', 'Fiction', 'Mystery']","['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']","['Monte Carlo', 'Cornwall, England']",https://www.goodreads.com/book/show/17899948-rebecca
204,In Cold Blood,Truman Capote,18545,585711,4.06,343,1994,1965,0,"['Nonfiction', 'Classics', 'Crime > True Crime']",['Edgar Award for Best Fact Crime (1966)'],"['Holcomb, Kansas', 'Kansas']",https://www.goodreads.com/book/show/168642.In_Cold_Blood
205,The Godfather,Mario Puzo,9709,368355,4.35,448,2002,1969,1,"['Fiction', 'Classics', 'Mystery > Crime']",,"['The United States of America', 'New York (State)', 'Sicily']",https://www.goodreads.com/book/show/22034.The_Godfather
206,The Lovely Bones,Alice Sebold,42012,2140959,3.83,372,2006,2002,0,"['Fiction', 'Mystery', 'Young Adult']","['Bram Stoker Award for Best First Novel (2002)', 'Orange Prize Nominee for Fiction Longlist (2003)', 'British Book Award for Best Read of the Year (2004)', 'Book Sense Book of the Year Award for Adult Fiction (2003)', 'California Book Award for First Fiction (Silver) (2002)', '', '', '', '', '', '', '']","['Philadelphia, Pennsylvania', 'Pennsylvania', 'The United States of America']",https://www.goodreads.com/book/show/12232938-the-lovely-bones
207,Gone Girl,Gillian Flynn,137059,2565490,4.09,415,2014,2012,0,"['Fiction', 'Mystery', 'Thriller']","['Barry Award Nominee for Best Novel (2013)', 'Anthony Award Nominee for Best Novel (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012)"", 'Shirley Jackson Award Nominee for Novel (Finalist) (2012)', 'Edgar Award Nominee for Best Novel (2013)', '', '', '', '']","['North Carthage, Missouri', 'Missouri']",https://www.goodreads.com/book/show/19288043-gone-girl
208,The Name of the Rose,Umberto Eco,10095,328313,4.13,536,1994,1980,0,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['إمبيرتو', 'Premio Strega (1981)', 'Los Angeles Times Book Prize Nominee for Fiction (1983)', 'Edgar Award Nominee for Best Novel (1984)', 'PEN Translation Prize for William Weaver (1984)', '', '', '', '']","['Italian Benedictine monastery', 'Italy']",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
209,Shutter Island,Dennis Lehane,8897,187611,4.07,369,2004,2003,0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award Nominee for Best Novel (2004)', 'Anthony Award Nominee for Best Novel (2004)', 'Hammett Prize Nominee (2003)', 'Grand Prix des lectrices de Elle for roman policier (2004)']","['Massachusetts', 'Shutter Island, Massachusetts']",https://www.goodreads.com/book/show/21686.Shutter_Island
210,The Firm,Robin Waterfield,3621,597323,4.03,76,2000,1991,0,"['Fiction', 'Thriller', 'Mystery']",,"['Memphis, Tennessee', 'Tennessee']",https://www.goodreads.com/book/show/5358.The_Firm
211,Mystic River,Dennis Lehane,4046,147246,4.13,416,2001,2001,0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award for Best Novel (2002)', 'Macavity Award Nominee for Best Mystery Novel (2002)', 'Anthony Award for Best Novel (2002)', 'Hammett Prize Nominee (2001)', 'Dilys Award (2002)', '', '', '']","['Boston, Massachusetts']",https://www.goodreads.com/book/show/21671.Mystic_River
212,The Shadow of the Wind,Carlos Ruiz Zafón,40509,529106,4.27,487,2005,2001,1,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['Barry Award for Best First Novel (2005)', 'Gumshoe Award Nominee for Best European Crime Novel (2005)', 'Borders Original Voices Award for Fiction (2004)', 'Dilys Award Nominee (2005)', ""Humo's Gouden Bladwijzer (2006)"", '', '', '', '']","['Spain', 'Barcelona, Catalonia']",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
213,The Alienist,Caleb Carr,7703,169246,4.05,498,2006,1994,1,"['Historical > Historical Fiction', 'Mystery', 'Fiction']","['Anthony Award for Best First Novel (1995)', 'Grand Prix de Littérature Policière for Romans étrangers (1996)', ""Lambda Literary Award Nominee for Gay Men's Mystery (1995)"", 'Palle Rosenkrantz Prisen (1997)']",['New York (State)'],https://www.goodreads.com/book/show/40024.The_Alienist
214,The Big Sleep,Raymond Chandler,6340,144983,3.95,231,1988,1939,1,"['Mystery', 'Fiction', 'Classics']","['Anthony Award Nominee for Best Novel of the Century (2000)', 'CWA Best Ever Nominee for Crime Novel (2013)']","['Los Angeles area, California', 'Los Angeles, California', 'Hollywood, California']",https://www.goodreads.com/book/show/2052.The_Big_Sleep
215,One for the Money,Janet Evanovich,15399,508718,4.03,320,2006,1994,1,"['Mystery', 'Fiction', 'Humor']","['Anthony Award Nominee for Best Novel (1995)', 'Shamus Award Nominee for Best First PI Novel (1995)', 'Dilys Award (1995)', 'CWA New Blood Dagger (1995)', 'Agatha Award Nominee for Best First Novel (1994)', '']","['Trenton, New Jersey']",https://www.goodreads.com/book/show/6853.One_for_the_Money
216,Red Dragon,Thomas Harris,5709,304845,4.03,454,2000,1981,1,"['Horror', 'Fiction', 'Thriller']",,"['St. Louis, Missouri']",https://www.goodreads.com/book/show/28877.Red_Dragon
217,The Maltese Falcon,Dashiell Hammett,5410,101851,3.89,213,2005,1929,0,"['Mystery', 'Fiction', 'Classics']","['Anthony Award Nominee for Best Novel of the Century (2000)', 'Audie Award for Audiobook Adaptation (2010)', 'Grammy Award Nominee for Best Spoken Word Album (2010)']","['San Francisco, California', 'California']",https://www.goodreads.com/book/show/29999.The_Maltese_Falcon
218,In the Woods,Tana French,23801,351817,3.77,429,2008,2007,1,"['Mystery', 'Fiction', 'Thriller']","['Barry Award for Best First Novel (2008)', 'Macavity Award for Best First Mystery Novel (2008)', 'Anthony Award for Best First Novel (2008)', 'Edgar Award for Best First Novel by an American Author (2008)']","['Dublin', 'Ireland']",https://www.goodreads.com/book/show/2459785.In_the_Woods
219,Presumed Innocent,Scott Turow,1649,115697,4.1,421,1988,1987,1,"['Mystery', 'Fiction', 'Thriller']","['CWA Silver Dagger for Fiction (1987)', 'Martin Beck Award (1988)']",,https://www.goodreads.com/book/show/425029.Presumed_Innocent
220,Midnight in the Garden of Good and Evil,John Berendt,9739,247623,3.91,386,1999,1994,0,"['Nonfiction', 'Crime > True Crime', 'Mystery']","['Pulitzer Prize Nominee for General Nonfiction (1995)', 'Exclusive Books Boeke Prize (1995)', 'Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994)', ""Lambda Literary Award for Gay Men's Mystery (1995)""]","['Savannah, Georgia']",https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
221,A Time to Kill,John Grisham,5893,753208,4.08,515,2004,1989,1,"['Fiction', 'Mystery', 'Thriller']",,"['Clanton, Ford County, Mississippi']",https://www.goodreads.com/book/show/32542.A_Time_to_Kill
222,The Thirteenth Tale,Diane Setterfield,24065,295635,3.96,406,2006,,0,"['Fiction', 'Mystery', 'Historical > Historical Fiction']","['Dilys Award Nominee (2007)', 'ALA Alex Award (2007)', 'The Quill Award for Debut Author (2007)']",['Angelfield'],https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
223,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,14828,435971,3.83,139,2003,1886,0,"['Classics', 'Fiction', 'Horror']",['Independent Publisher Book Award (IPPY) for Audio Fiction - Abridged (1999)'],"['London, England', 'England', 'United Kingdom']",https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
224,The Complete Stories and Poems,Edgar Allan Poe,2234,236664,4.37,821,1984,1849,0,"['Classics', 'Poetry', 'Horror']",,['The United States of America'],https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
225,The Mysterious Affair at Styles,Agatha Christie,10226,307603,3.98,121,2002,1920,1,"['Mystery', 'Fiction', 'Classics']",['Audie Award for Mystery (1997)'],"['Essex, England']",https://www.goodreads.com/book/show/16343.The_Mysterious_Affair_at_Styles
226,A Study in Scarlet,Arthur Conan Doyle,12660,369175,4.14,123,2005,1887,1,"['Classics', 'Mystery', 'Fiction']",,"['London, England', 'Utah']",https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
227,The Count of Monte Cristo,Alexandre Dumas,23948,801687,4.26,1276,2003,1844,0,"['Classics', 'Fiction', 'Historical > Historical Fiction']",,"['Marseille', 'Paris', 'France']",https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
228,The Woman in White,Wilkie Collins,8307,143951,3.99,672,2003,1859,0,"['Classics', 'Mystery', 'Fiction']",['Audie Award for Classic (2011)'],"['Cumberland, England', 'London, England', 'Hampshire, England', '', '']",https://www.goodreads.com/book/show/5890.The_Woman_in_White
229,A is for Alibi,Sue Grafton,5072,171106,3.86,308,2005,1982,1,"['Mystery', 'Fiction', 'Mystery > Crime']",['Shamus Award Nominee for Best PI Hardcover (1983)'],"['Los Angeles, California', 'Las Vegas, Nevada', 'Santa Teresa, California']",https://www.goodreads.com/book/show/64863.A_is_for_Alibi
230,1st to Die,James Patterson,6822,315683,4.08,424,2005,2001,1,"['Mystery', 'Fiction', 'Thriller']",,"['San Francisco, California']",https://www.goodreads.com/book/show/13137.1st_to_Die
231,Perfume: The Story of a Murderer,Patrick Süskind,16582,380360,4.02,263,1987,1985,0,"['Fiction', 'Classics', 'Historical > Historical Fiction']","['World Fantasy Award for Best Novel (1987)', 'PEN Translation Prize for John E. Woods (1987)']","['Paris', 'Grasse', 'Montpellier', '', '']",https://www.goodreads.com/book/show/343.Perfume
232,Postmortem,Patricia Daniels Cornwell,3177,226532,4.01,342,2003,1990,1,"['Mystery', 'Mystery > Crime', 'Fiction']","['Macavity Award for Best First Mystery Novel (1991)', 'Anthony Award for Best First Novel (1991)', 'CWA New Blood Dagger (1990)', 'Edgar Award for Best First Novel (1991)', 'John Creasey Memorial Award (1990)', '']","['Richmond, Virginia', 'Virginia']",https://www.goodreads.com/book/show/6534.Postmortem
233,The Bone Collector,Jeffery Deaver,3089,175268,4.18,528,1998,1997,1,"['Mystery', 'Thriller', 'Fiction']",['Nero Award (1999)'],"['New York City, New York']",https://www.goodreads.com/book/show/2373.The_Bone_Collector
234,The Lincoln Lawyer,Michael Connelly,6038,213123,4.17,405,2005,,1,"['Mystery', 'Fiction', 'Thriller']","['Macavity Award for Best Mystery Novel (2006)', 'Anthony Award Nominee for Best Novel (2006)', 'Shamus Award for Best PI Hardcover (2006)', 'Edgar Award Nominee for Best Novel (2006)']","['Los Angeles, California', 'Hollywood, California', 'California']",https://www.goodreads.com/book/show/40612032-the-lincoln-lawyer
235,The Pelican Brief,John Grisham,2870,403228,4.02,400,2006,1992,0,"['Fiction', 'Mystery', 'Thriller']",['Evergreen Teen Book Award (1995)'],"['New Orleans, Louisiana', 'Washington, D.C.']",https://www.goodreads.com/book/show/32499.The_Pelican_Brief
236,The Curious Incident of the Dog in the Night-Time,Mark Haddon,47203,1299762,3.89,226,2004,2003,0,"['Fiction', 'Mystery', 'Young Adult']","['Booker Prize Nominee for Longlist (2003)', 'James Tait Black Memorial Prize Nominee for Fiction (2003)', 'Whitbread Award for Novel and Book of the Year (2003)', ""Guardian Children's Fiction Prize (2003)"", 'McKitterick Prize (2004)', '', '', '', '', '', '', '', '', '', '']","['Swindon, England', 'London, England', 'England']",https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
237,Killing Floor,Lee Child,11398,276198,4.05,524,2006,1997,1,"['Thriller', 'Fiction', 'Mystery']","['Barry Award for Best First Novel (1998)', 'Macavity Award Nominee for Best First Mystery Novel (1998)', 'Anthony Award for Best First Novel (1998)', 'Dilys Award Nominee (1998)', 'Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (2000)']","['Margrave, Georgia']",https://www.goodreads.com/book/show/78129.Killing_Floor
238,The Historian,Elizabeth Kostova,16753,258692,3.79,704,2005,,0,"['Fiction', 'Historical > Historical Fiction', 'Fantasy']","['International Horror Guild Award Nominee for Best Novel (2005)', 'Hopwood Award for Novel in-progress (2003)', 'Book Sense Book of the Year Award for Best Adult Fiction (2006)', 'The Quill Award for Debut Author of the Year (2005)', 'Lord Ruthven Award for Fiction (2006)']","['Europe', 'Amsterdam', 'Budapest', '', '']",https://www.goodreads.com/book/show/30236962-the-historian
239,Crime and Punishment,Fyodor Dostoevsky,23602,712927,4.23,671,2002,1866,0,"['Classics', 'Fiction', 'Cultural > Russia']",,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia', '']",https://www.goodreads.com/book/show/7144.Crime_and_Punishment
240,The Day of the Jackal,Frederick Forsyth,2263,133469,4.24,358,1979,1971,0,"['Fiction', 'Thriller', 'Mystery']","['Martin Beck Award (1972)', 'Edgar Award for Best Novel (1972)']","['France', 'Paris']",https://www.goodreads.com/book/show/540020.The_Day_of_the_Jackal
241,Murder on the Orient Express,Agatha Christie,28011,453862,4.18,274,2007,1934,1,"['Mystery', 'Classics', 'Fiction']",['CWA Best Ever Nominee for Crime Novel (2013)'],,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
242,The Poet,Michael Connelly,3364,92389,4.2,510,2002,1996,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Anthony Award for Best Novel (1997)', 'Hammett Prize Nominee (1996)', 'Dilys Award (1997)', 'Nero Award (1997)', 'Marlowe for Best Crime Novel (International) (1997)']","['Denver, Colorado', 'Chicago, Illinois', 'Phoenix, Arizona', '']",https://www.goodreads.com/book/show/32506.The_Poet
243,Naked in Death,J.D. Robb,6518,179387,4.12,306,1995,,1,"['Mystery', 'Romance', 'Mystery > Crime']",,"['New York City, New York']",https://www.goodreads.com/book/show/479309.Naked_in_Death
244,The Moonstone,Wilkie Collins,4938,90490,3.9,528,2001,1868,0,"['Classics', 'Mystery', 'Fiction']",['CWA Best Ever Nominee for Crime Novel (2013)'],"['United Kingdom', 'England', 'Kathiawar']",https://www.goodreads.com/book/show/6138.The_Moonstone
245,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,11953,248240,3.8,235,2003,1998,1,"['Mystery', 'Fiction', 'Cultural > Africa']",['Martin Beck Award (2004)'],"['Botswana', 'Johannesburg', 'Mafikeng', '', '']",https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency
