,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
101,And Then There Were None,Agatha Christie,41209,977816,4.26,264,2004,1939,0,"['Mystery', 'Classics', 'Fiction']",,"['United Kingdom', 'Devon Coast, England', 'Devon, England', '']",https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
102,Angels & Demons,Dan Brown,30609,2868928,3.92,736,2006,2000,1,"['Fiction', 'Mystery', 'Thriller']","[""Humo's Gouden Bladwijzer (2005)""]","['Rome', 'Vatican City', 'Italy']",https://www.goodreads.com/book/show/960.Angels_Demons
103,Rebecca,Daphne du Maurier,29156,520233,4.23,449,2013,1938,0,"['Classics', 'Fiction', 'Mystery']","['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']","['Monte Carlo', 'Cornwall, England']",https://www.goodreads.com/book/show/17899948-rebecca
104,In Cold Blood,Truman Capote,18545,585711,4.06,343,1994,1965,0,"['Nonfiction', 'Classics', 'Crime > True Crime']",['Edgar Award for Best Fact Crime (1966)'],"['Holcomb, Kansas', 'Kansas']",https://www.goodreads.com/book/show/168642.In_Cold_Blood
105,The Godfather,Mario Puzo,9709,368355,4.35,448,2002,1969,1,"['Fiction', 'Classics', 'Mystery > Crime']",,"['The United States of America', 'New York (State)', 'Sicily']",https://www.goodreads.com/book/show/22034.The_Godfather
106,The Lovely Bones,Alice Sebold,42012,2140959,3.83,372,2006,2002,0,"['Fiction', 'Mystery', 'Young Adult']","['Bram Stoker Award for Best First Novel (2002)', 'Orange Prize Nominee for Fiction Longlist (2003)', 'British Book Award for Best Read of the Year (2004)', 'Book Sense Book of the Year Award for Adult Fiction (2003)', 'California Book Award for First Fiction (Silver) (2002)', '', '', '', '', '', '', '']","['Philadelphia, Pennsylvania', 'Pennsylvania', 'The United States of America']",https://www.goodreads.com/book/show/12232938-the-lovely-bones
107,Gone Girl,Gillian Flynn,137059,2565490,4.09,415,2014,2012,0,"['Fiction', 'Mystery', 'Thriller']","['Barry Award Nominee for Best Novel (2013)', 'Anthony Award Nominee for Best Novel (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012)"", 'Shirley Jackson Award Nominee for Novel (Finalist) (2012)', 'Edgar Award Nominee for Best Novel (2013)', '', '', '', '']","['North Carthage, Missouri', 'Missouri']",https://www.goodreads.com/book/show/19288043-gone-girl
108,The Name of the Rose,Umberto Eco,10095,328313,4.13,536,1994,1980,0,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['إمبيرتو', 'Premio Strega (1981)', 'Los Angeles Times Book Prize Nominee for Fiction (1983)', 'Edgar Award Nominee for Best Novel (1984)', 'PEN Translation Prize for William Weaver (1984)', '', '', '', '']","['Italian Benedictine monastery', 'Italy']",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
109,Shutter Island,Dennis Lehane,8897,187611,4.07,369,2004,2003,0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award Nominee for Best Novel (2004)', 'Anthony Award Nominee for Best Novel (2004)', 'Hammett Prize Nominee (2003)', 'Grand Prix des lectrices de Elle for roman policier (2004)']","['Massachusetts', 'Shutter Island, Massachusetts']",https://www.goodreads.com/book/show/21686.Shutter_Island
110,The Firm,Robin Waterfield,3621,597323,4.03,76,2000,1991,0,"['Fiction', 'Thriller', 'Mystery']",,"['Memphis, Tennessee', 'Tennessee']",https://www.goodreads.com/book/show/5358.The_Firm
